"Cliente_ID","Edad","Genero","Articulo Comprado","Categoria","Monto de compra (USD)","Ciudad","Tamaño","Color","Calificacion_cliente","Suscripcion","Envio","Descuento aplicado","Codigo promocional usado","Compas anteriores","Metodo de pago","Frecuencia de compras"
"1","55","Hombre","Blusa","Ropa","53","Kentucky","L","Gris","3.1","Si","Expres","Si","Si","14","Venmo","Quincenal"
"2","19","Hombre","Suéter","Ropa","64","Maine","L","Marrón","3.1","Si","Expres","Si","Si","2","Efectivo","Quincenal"
"3","50","Hombre","Vaqueros","Ropa","73","Massachusetts","S","Marrón","3.1","Si","Envío Gratis","Si","Si","23","Tarjeta de crédito","Semanal"
"4","21","Hombre","Sandalias","Calzado","90","Rhode Island","M","Marrón","3.5","Si","Aire al día siguiente","Si","Si","49","PayPal","Semanal"
"5","45","Hombre","Blusa","Ropa","49","Oregón","M","Turquesa","2.7","Si","Envío Gratis","Si","Si","31","PayPal","Anualmente"
"6","46","Hombre","Zapatos deportivos","Calzado","20","Wyoming","M","Blanco","2.9","Si","Estándar","Si","Si","14","Venmo","Semanal"
"7","63","Hombre","Camisa","Ropa","85","Montana","M","Gris","3.2","Si","Envío Gratis","Si","Si","49","Efectivo","Trimestral"
"8","27","Hombre","Shorts","Ropa","34","Luisiana","L","Carbón","3.2","Si","Envío Gratis","Si","Si","19","Tarjeta de crédito","Semanal"
"9","26","Hombre","Abrigo","Abrigos","97","Virginia Occidental","L","Plata","2.6","Si","Expres","Si","Si","8","Venmo","Anualmente"
"10","57","Hombre","Bolso","Accesorios","31","Misuri","M","Rosado","4.8","Si","Envío en 2 días","Si","Si","4","Efectivo","Trimestral"
"11","53","Hombre","Calzado","Calzado","34","Arkansas","L","Morado","4.1","Si","Recogida en tienda","Si","Si","26","Transferencia bancaria","Quincenal"
"12","30","Hombre","Shorts","Ropa","68","Hawai","S","Aceituna","4.9","Si","Recogida en tienda","Si","Si","10","Transferencia bancaria","Quincenal"
"13","61","Hombre","Abrigo","Abrigos","72","Delaware","M","Oro","4.5","Si","Expres","Si","Si","37","Venmo","Quincenal"
"14","65","Hombre","Vestido","Ropa","51","Nuevo Hampshire","M","Violeta","4.7","Si","Expres","Si","Si","31","PayPal","Semanal"
"15","64","Hombre","Abrigo","Abrigos","53","Nueva York","L","Cerceta","4.7","Si","Envío Gratis","Si","Si","34","Tarjeta de débito","Semanal"
"16","64","Hombre","Falda","Ropa","81","Rhode Island","M","Cerceta","2.8","Si","Recogida en tienda","Si","Si","8","PayPal","Mensual"
"17","25","Hombre","Gafas de sol","Accesorios","36","Alabama","S","Gris","4.1","Si","Aire al día siguiente","Si","Si","44","Tarjeta de débito","Quincenal"
"18","53","Hombre","Vestido","Ropa","38","Misisipi","XL","Lavanda","4.7","Si","Envío en 2 días","Si","Si","36","Venmo","Trimestral"
"19","52","Hombre","Suéter","Ropa","48","Montana","S","Negro","4.6","Si","Envío Gratis","Si","Si","17","Efectivo","Semanal"
"20","66","Hombre","Pantalón","Ropa","90","Rhode Island","M","Verde","3.3","Si","Estándar","Si","Si","46","Tarjeta de débito","Quincenal"
"21","21","Hombre","Pantalón","Ropa","51","Luisiana","M","Negro","2.8","Si","Expres","Si","Si","50","Efectivo","Trimestral"
"22","31","Hombre","Pantalón","Ropa","62","Carolina del Norte","M","Carbón","4.1","Si","Recogida en tienda","Si","Si","22","Tarjeta de débito","Trimestral"
"23","56","Hombre","Pantalón","Ropa","37","California","M","Melocotón","3.2","Si","Recogida en tienda","Si","Si","32","Tarjeta de débito","Anualmente"
"24","31","Hombre","Pantalón","Ropa","88","Oklahoma","XL","Blanco","4.4","Si","Expres","Si","Si","40","Tarjeta de crédito","Semanal"
"25","18","Hombre","Chaqueta","Abrigos","22","Florida","M","Verde","2.9","Si","Recogida en tienda","Si","Si","16","Tarjeta de débito","Semanal"
"26","18","Hombre","Sudadera con capucha","Ropa","25","Texas","M","Plata","3.6","Si","Expres","Si","Si","14","PayPal","Anualmente"
"27","38","Hombre","Joyería","Accesorios","20","Nevada","M","Rojo","3.6","Si","Aire al día siguiente","Si","Si","13","Tarjeta de crédito","Anualmente"
"28","56","Hombre","Shorts","Ropa","56","Kentucky","L","Cian","5","Si","Aire al día siguiente","Si","Si","7","Transferencia bancaria","Trimestral"
"29","54","Hombre","Bolso","Accesorios","94","Carolina del Norte","M","Gris","4.4","Si","Envío Gratis","Si","Si","41","PayPal","Trimestral"
"30","31","Hombre","Vestido","Ropa","48","Wyoming","S","Negro","4.1","Si","Recogida en tienda","Si","Si","14","Tarjeta de crédito","Semanal"
"31","57","Hombre","Joyería","Accesorios","31","Carolina del Norte","L","Negro","4.7","Si","Estándar","Si","Si","16","Tarjeta de crédito","Mensual"
"32","33","Hombre","Vestido","Ropa","79","Virginia Occidental","L","Marrón","4.7","Si","Recogida en tienda","Si","Si","45","Venmo","Mensual"
"33","36","Hombre","Chaqueta","Abrigos","67","Kansas","M","Plata","4.9","Si","Envío Gratis","Si","Si","37","Venmo","Anualmente"
"34","54","Hombre","Pantalón","Ropa","38","Colorado","L","Verde","3.3","Si","Recogida en tienda","Si","Si","45","Efectivo","Trimestral"
"35","36","Hombre","Camiseta","Ropa","91","Dakota del Norte","L","Violeta","4.6","Si","Envío en 2 días","Si","Si","38","PayPal","Trimestral"
"36","54","Hombre","Blusa","Ropa","33","Massachusetts","M","Cian","4","Si","Envío en 2 días","Si","Si","48","Tarjeta de crédito","Quincenal"
"37","35","Hombre","Camiseta","Ropa","69","Illinois","M","Marrón","4.6","Si","Envío Gratis","Si","Si","44","PayPal","Quincenal"
"38","35","Hombre","Vaqueros","Ropa","45","Indiana","S","Cian","2.8","Si","Recogida en tienda","Si","Si","10","PayPal","Semanal"
"39","29","Hombre","Vestido","Ropa","37","Florida","M","Rojo","3.7","Si","Envío en 2 días","Si","Si","44","Venmo","Trimestral"
"40","70","Hombre","Pantalón","Ropa","60","Arizona","S","Turquesa","4.2","Si","Expres","Si","Si","18","Tarjeta de crédito","Mensual"
"41","69","Hombre","Bolso","Accesorios","76","Luisiana","L","Beige","4.6","Si","Aire al día siguiente","Si","Si","31","Tarjeta de débito","Trimestral"
"42","67","Hombre","Bufanda","Accesorios","39","Alaska","M","Naranja","4.5","Si","Estándar","Si","Si","40","Venmo","Anualmente"
"43","20","Hombre","Abrigo","Abrigos","100","Tennessee","M","Beige","4.1","Si","Envío Gratis","Si","Si","15","PayPal","Anualmente"
"44","25","Hombre","Bufanda","Accesorios","69","Ohio","L","Lavanda","3.7","Si","Recogida en tienda","Si","Si","19","PayPal","Quincenal"
"45","39","Hombre","Tiene","Accesorios","53","Kentucky","S","Plata","4.6","Si","Envío Gratis","Si","Si","45","PayPal","Semanal"
"46","50","Hombre","Calcetines","Ropa","21","Tennessee","XL","Añil","2.9","Si","Envío en 2 días","Si","Si","25","PayPal","Anualmente"
"47","57","Hombre","Camisa","Ropa","43","California","L","Blanco","2.9","Si","Recogida en tienda","Si","Si","45","Efectivo","Trimestral"
"48","55","Hombre","Joyería","Accesorios","54","Montana","M","Carbón","4.5","Si","Envío Gratis","Si","Si","36","Efectivo","Semanal"
"49","42","Hombre","Camisa","Ropa","55","Nevada","M","Naranja","2.7","Si","Recogida en tienda","Si","Si","38","Efectivo","Mensual"
"50","68","Hombre","Sudadera con capucha","Ropa","30","New Jersey","S","Añil","4.6","Si","Aire al día siguiente","Si","Si","34","Tarjeta de débito","Quincenal"
"51","49","Hombre","Blusa","Ropa","28","Maryland","M","Rojo","3.7","Si","Recogida en tienda","Si","Si","39","Tarjeta de débito","Quincenal"
"52","59","Hombre","Falda","Ropa","59","Vermont","XL","Gris","4.7","Si","Envío en 2 días","Si","Si","7","Tarjeta de crédito","Trimestral"
"53","42","Hombre","Camiseta","Ropa","20","Alaska","M","Verde","2.6","Si","Envío Gratis","Si","Si","26","Tarjeta de crédito","Semanal"
"54","29","Hombre","Falda","Ropa","24","Misisipi","S","Melocotón","3.9","Si","Aire al día siguiente","Si","Si","35","Tarjeta de crédito","Semanal"
"55","47","Hombre","Abrigo","Abrigos","94","Nuevo México","M","Marrón","4.2","Si","Aire al día siguiente","Si","Si","35","Tarjeta de débito","Quincenal"
"56","40","Hombre","Chaqueta","Abrigos","28","Carolina del Sur","M","Lavanda","3","Si","Envío en 2 días","Si","Si","49","Tarjeta de crédito","Anualmente"
"57","41","Hombre","Mochila","Accesorios","73","Misisipi","XL","Marrón","4.7","Si","Recogida en tienda","Si","Si","46","Tarjeta de crédito","Semanal"
"58","21","Hombre","Abrigo","Abrigos","64","Virginia Occidental","M","Blanco","4.4","Si","Recogida en tienda","Si","Si","17","Tarjeta de débito","Quincenal"
"59","69","Hombre","Sudadera con capucha","Ropa","54","Misuri","M","Carbón","4.2","Si","Envío Gratis","Si","Si","29","Venmo","Mensual"
"60","63","Hombre","Cinturón","Accesorios","79","Luisiana","L","Amarillo","4.6","Si","Estándar","Si","Si","4","Tarjeta de débito","Semanal"
"61","50","Hombre","Suéter","Ropa","37","Idaho","L","Marrón","4","Si","Expres","Si","Si","17","Efectivo","Semanal"
"62","55","Hombre","Bufanda","Accesorios","68","Texas","M","Naranja","4.7","Si","Recogida en tienda","Si","Si","21","Tarjeta de crédito","Trimestral"
"63","30","Hombre","Zapatos deportivos","Calzado","21","Misisipi","S","Magenta","3.8","Si","Envío Gratis","Si","Si","31","Tarjeta de crédito","Quincenal"
"64","33","Hombre","Gafas de sol","Accesorios","79","Arizona","L","Lavanda","2.7","Si","Envío en 2 días","Si","Si","43","Tarjeta de crédito","Semanal"
"65","65","Hombre","Botas","Calzado","83","Alabama","S","Verde","4.8","Si","Estándar","Si","Si","18","Tarjeta de débito","Quincenal"
"66","65","Hombre","Mochila","Accesorios","36","New Jersey","M","Morado","4.8","Si","Envío en 2 días","Si","Si","44","Venmo","Trimestral"
"67","31","Hombre","Blusa","Ropa","94","Pensilvania","S","Magenta","4.7","Si","Envío en 2 días","Si","Si","3","Venmo","Trimestral"
"68","45","Hombre","Abrigo","Abrigos","33","Connecticut","L","Gris","4.4","Si","Recogida en tienda","Si","Si","49","Tarjeta de débito","Mensual"
"69","57","Hombre","Bolso","Accesorios","46","Utah","L","Plata","3.9","Si","Aire al día siguiente","Si","Si","21","Efectivo","Trimestral"
"70","48","Hombre","Cinturón","Accesorios","70","Tennessee","S","Cian","4.4","Si","Expres","Si","Si","5","Efectivo","Semanal"
"71","22","Hombre","Cinturón","Accesorios","29","Alabama","M","Magenta","4.2","Si","Expres","Si","Si","32","Tarjeta de débito","Trimestral"
"72","36","Hombre","Vestido","Ropa","48","Virginia","L","Oro","2.9","Si","Expres","Si","Si","34","Transferencia bancaria","Anualmente"
"73","18","Hombre","Vestido","Ropa","26","Georgia","M","Aceituna","2.9","Si","Recogida en tienda","Si","Si","21","Transferencia bancaria","Trimestral"
"74","48","Hombre","Pantalón","Ropa","85","Hawai","M","Cerceta","2.7","Si","Envío Gratis","Si","Si","43","Transferencia bancaria","Quincenal"
"75","49","Hombre","Guantes","Accesorios","58","Indiana","L","Violeta","4.5","Si","Expres","Si","Si","3","Efectivo","Mensual"
"76","64","Hombre","Bufanda","Accesorios","85","Utah","M","Azul","2.7","Si","Envío Gratis","Si","Si","21","Tarjeta de crédito","Anualmente"
"77","50","Hombre","Tiene","Accesorios","43","Delaware","S","Cerceta","4.2","Si","Envío Gratis","Si","Si","32","Venmo","Mensual"
"78","22","Hombre","Vestido","Ropa","53","Delaware","L","Oro","3.3","Si","Aire al día siguiente","Si","Si","36","Tarjeta de débito","Quincenal"
"79","50","Hombre","Falda","Ropa","91","Nebraska","M","Marrón","4.7","Si","Envío Gratis","Si","Si","50","Venmo","Quincenal"
"80","38","Hombre","Chaqueta","Abrigos","96","Iowa","M","Aceituna","2.6","Si","Envío en 2 días","Si","Si","43","Transferencia bancaria","Trimestral"
"81","19","Hombre","Sandalias","Calzado","72","Nueva York","XL","Azul","3.3","Si","Recogida en tienda","Si","Si","24","Tarjeta de crédito","Trimestral"
"82","67","Hombre","Calzado","Calzado","96","Virginia","L","Marrón","2.6","Si","Expres","Si","Si","36","Tarjeta de crédito","Trimestral"
"83","19","Hombre","Pantalón","Ropa","28","Georgia","S","Aceituna","4","Si","Envío en 2 días","Si","Si","21","Tarjeta de crédito","Trimestral"
"84","36","Hombre","Vestido","Ropa","40","Texas","M","Turquesa","4.1","Si","Estándar","Si","Si","34","Transferencia bancaria","Semanal"
"85","52","Hombre","Abrigo","Abrigos","32","Arizona","S","Melocotón","4.4","Si","Estándar","Si","Si","42","Transferencia bancaria","Trimestral"
"86","53","Hombre","Gafas de sol","Accesorios","95","Nuevo México","M","Carbón","4.5","Si","Aire al día siguiente","Si","Si","2","Tarjeta de débito","Quincenal"
"87","24","Hombre","Sudadera con capucha","Ropa","41","Nevada","L","Rosado","3.7","Si","Envío en 2 días","Si","Si","47","Efectivo","Quincenal"
"88","52","Hombre","Calzado","Calzado","53","Ohio","M","Verde","3.7","Si","Envío en 2 días","Si","Si","44","Tarjeta de débito","Quincenal"
"89","33","Hombre","Camiseta","Ropa","47","Wyoming","M","Naranja","3.5","Si","Envío Gratis","Si","Si","35","Tarjeta de crédito","Mensual"
"90","47","Hombre","Chaqueta","Abrigos","83","California","XL","Rosado","3.6","Si","Aire al día siguiente","Si","Si","15","Efectivo","Trimestral"
"91","25","Hombre","Tiene","Accesorios","48","Carolina del Sur","L","Violeta","2.9","Si","Expres","Si","Si","29","Tarjeta de crédito","Mensual"
"92","44","Hombre","Bufanda","Accesorios","99","Carolina del Sur","S","Verde","4.6","Si","Estándar","Si","Si","18","Tarjeta de crédito","Trimestral"
"93","61","Hombre","Chaqueta","Abrigos","87","Texas","M","Aceituna","4.4","Si","Envío en 2 días","Si","Si","13","Venmo","Trimestral"
"94","37","Hombre","Suéter","Ropa","62","Florida","M","Morado","4.5","Si","Estándar","Si","Si","46","Tarjeta de crédito","Semanal"
"95","58","Hombre","Falda","Ropa","76","Nevada","S","Plata","4.6","Si","Envío Gratis","Si","Si","28","Tarjeta de crédito","Semanal"
"96","37","Hombre","Zapatos deportivos","Calzado","100","Misuri","L","Rosado","3.8","Si","Envío Gratis","Si","Si","48","PayPal","Mensual"
"97","32","Hombre","Guantes","Accesorios","73","Delaware","S","Oro","3.6","Si","Expres","Si","Si","43","Venmo","Trimestral"
